GROUP,ATTRIBUTE,ACCOUNT,SUM
_MANAGED_,feature.StemsPerHa.managed.CWHvm_FDC_HW_L,feature.StemsPerHa.managed.CWHvm_FDC_HW_L,0.00778728649975
_MANAGED_,feature.StemsPerHa.managed.CWHvm_FDC_HW_M,feature.StemsPerHa.managed.CWHvm_FDC_HW_M,0.00694116163913
_MANAGED_,feature.StemsPerHa.managed.CWHvm_HW_BA_M,feature.StemsPerHa.managed.CWHvm_HW_BA_M,0.0403009817383
_MANAGED_,feature.StemsPerHa.managed.CWHvm_HW_CW_H,feature.StemsPerHa.managed.CWHvm_HW_CW_H,0.0106313824551
_MANAGED_,feature.StemsPerHa.managed.CWHvm_HW_CW_L,feature.StemsPerHa.managed.CWHvm_HW_CW_L,0.0956449599435
_MANAGED_,feature.StemsPerHa.managed.CWHvm_HW_CW_M,feature.StemsPerHa.managed.CWHvm_HW_CW_M,0.0282430399255
_MANAGED_,feature.StemsPerHa.managed.CWHvm_HW_FDC_H,feature.StemsPerHa.managed.CWHvm_HW_FDC_H,0.00284242169908
_MANAGED_,feature.StemsPerHa.managed.CWHvm_HW_FDC_L,feature.StemsPerHa.managed.CWHvm_HW_FDC_L,0.0123990005238
_MANAGED_,feature.StemsPerHa.managed.CWHvm_HW_SS_M,feature.StemsPerHa.managed.CWHvm_HW_SS_M,0.0502980440041
_UNMANAGED_,feature.StemsPerHa.unmanaged.CWHvm_CW_HW_M,feature.StemsPerHa.unmanaged.CWHvm_CW_HW_M,0.00557116597114
_UNMANAGED_,feature.StemsPerHa.unmanaged.CWHvm_CW_YC_M,feature.StemsPerHa.unmanaged.CWHvm_CW_YC_M,0.0243025165065
_UNMANAGED_,feature.StemsPerHa.unmanaged.CWHvm_DR_HW_M,feature.StemsPerHa.unmanaged.CWHvm_DR_HW_M,0.0322873558606
_UNMANAGED_,feature.StemsPerHa.unmanaged.CWHvm_FDC_HW_H,feature.StemsPerHa.unmanaged.CWHvm_FDC_HW_H,0.0167232990452
_UNMANAGED_,feature.StemsPerHa.unmanaged.CWHvm_FDC_HW_L,feature.StemsPerHa.unmanaged.CWHvm_FDC_HW_L,0.0411042205541
_UNMANAGED_,feature.StemsPerHa.unmanaged.CWHvm_FDC_HW_M,feature.StemsPerHa.unmanaged.CWHvm_FDC_HW_M,0.021952255957
_UNMANAGED_,feature.StemsPerHa.unmanaged.CWHvm_HW_BA_M,feature.StemsPerHa.unmanaged.CWHvm_HW_BA_M,0.285423966416
_UNMANAGED_,feature.StemsPerHa.unmanaged.CWHvm_HW_CW_H,feature.StemsPerHa.unmanaged.CWHvm_HW_CW_H,0.0725158883498
_UNMANAGED_,feature.StemsPerHa.unmanaged.CWHvm_HW_CW_L,feature.StemsPerHa.unmanaged.CWHvm_HW_CW_L,0.0266033872206
_UNMANAGED_,feature.StemsPerHa.unmanaged.CWHvm_HW_CW_M,feature.StemsPerHa.unmanaged.CWHvm_HW_CW_M,0.0667501063579
_UNMANAGED_,feature.StemsPerHa.unmanaged.CWHvm_HW_FDC_H,feature.StemsPerHa.unmanaged.CWHvm_HW_FDC_H,0.0176299542167
_UNMANAGED_,feature.StemsPerHa.unmanaged.CWHvm_HW_FDC_L,feature.StemsPerHa.unmanaged.CWHvm_HW_FDC_L,0.013762321215
_UNMANAGED_,feature.StemsPerHa.unmanaged.CWHvm_HW_SS_M,feature.StemsPerHa.unmanaged.CWHvm_HW_SS_M,0.101973411893
_MANAGED_,feature.Yield.managed.BA,feature.Yield.managed.BA,1
_MANAGED_,feature.Yield.managed.CW,feature.Yield.managed.CW,1
_MANAGED_,feature.Yield.managed.DR,feature.Yield.managed.DR,1
